symbol,trade_date,rsi,macd,sma_50,sma_200
STK038,2024-10-27,20.76,3.6,109.55,248.35
STK016,2023-05-30,93.37,-1.31,55.98,221.32
STK039,2023-10-24,84.82,2.44,73.51,212.43
STK009,2023-02-26,69.68,-4.18,87.9,282.73
STK001,2024-02-10,83.69,2.8,76.44,86.4
STK026,2024-09-15,7.08,-4.02,176.26,126.45
STK008,2023-03-17,33.9,4.95,127.9,252.09
STK017,2024-02-27,79.7,1.05,61.23,194.11
STK024,2024-09-01,47.24,-3.49,183.71,34.5
STK001,2023-01-04,28.18,-4.97,72.45,136.54
STK001,2024-06-24,50.4,3.61,105.69,281.88
STK013,2024-07-30,8.09,1.94,94.87,148.66
STK008,2023-01-22,96.7,-2.87,164.97,200.7
STK039,2023-08-15,10.08,-3.39,216.96,107.09
STK018,2023-06-15,50.29,3.33,60.55,226.54
STK008,2024-03-17,3.33,-4.15,205.87,194.02
STK032,2023-06-01,74.61,3.41,194.66,285.44
STK035,2023-06-25,6.86,3.46,248.92,46.46
STK007,2024-01-06,75.71,-4.94,136.19,33.19
STK039,2024-05-16,80.78,-1.98,155.0,27.32
STK010,2023-02-04,58.16,1.73,286.34,253.37
STK026,2024-03-12,67.07,-2.59,292.08,34.12
STK020,2023-12-09,20.11,0.97,260.27,273.69
STK018,2023-05-23,13.45,-2.85,111.57,246.35
STK011,2024-04-29,7.95,3.89,154.85,214.37
STK023,2023-01-14,48.19,-1.22,62.69,83.89
STK009,2024-04-14,91.01,-1.28,182.84,96.51
STK020,2023-09-23,51.46,-4.17,281.51,238.28
STK019,2024-08-18,87.7,-2.86,136.25,243.6
STK005,2024-02-12,8.17,2.15,152.84,228.75
STK025,2023-08-17,73.59,4.27,76.03,65.54
STK021,2024-05-07,37.22,-2.39,87.48,78.39
STK008,2024-03-30,82.43,-3.98,79.28,163.73
STK036,2024-07-12,10.19,-3.56,109.96,143.66
STK034,2023-05-10,17.33,1.72,281.06,84.98
STK022,2024-06-26,42.94,-2.86,294.86,59.65
STK009,2023-08-22,82.43,4.09,56.72,136.98
STK005,2023-01-18,12.16,1.36,286.85,59.51
STK001,2024-01-07,38.1,-1.1,114.49,142.63
STK027,2023-01-13,72.8,-0.96,197.04,62.37
STK008,2024-05-12,25.81,-1.98,54.92,171.61
STK016,2024-09-23,53.65,0.12,177.62,75.98
STK037,2023-01-28,24.89,-4.0,189.31,93.16
STK028,2024-06-13,1.04,4.52,251.26,129.88
STK036,2024-05-01,29.2,0.59,51.06,195.44
STK029,2024-03-10,66.34,4.93,216.28,52.07
STK018,2024-05-18,95.67,2.98,125.19,199.8
STK036,2023-11-30,78.55,0.86,125.85,104.59
STK028,2024-07-31,15.76,-0.67,187.45,269.61
STK003,2023-07-07,55.01,-3.4,255.67,147.38
STK020,2024-02-25,61.45,2.53,298.16,172.54
STK022,2023-10-25,80.34,-0.32,88.1,102.58
STK029,2024-11-15,55.85,-3.29,33.39,73.64
STK025,2024-06-07,24.72,4.26,261.76,291.77
STK034,2023-03-21,23.45,-3.71,93.91,265.61
STK003,2023-10-22,41.95,-1.33,287.34,107.66
STK005,2024-11-02,49.25,-4.38,114.49,257.69
STK031,2023-05-18,37.8,-0.05,180.25,74.01
STK003,2023-02-18,14.5,2.47,73.85,95.17
STK013,2023-02-19,92.04,-0.14,178.07,24.97
STK002,2024-10-14,9.21,4.11,255.24,266.84
STK012,2023-09-10,50.26,-1.91,259.63,191.34
STK024,2023-12-13,0.98,3.02,253.45,155.95
STK036,2023-05-07,5.08,-3.0,186.83,122.56
STK018,2024-07-10,5.38,-1.11,269.88,126.79
STK028,2023-05-24,63.64,2.95,289.72,206.27
STK027,2023-11-27,6.28,-1.52,57.05,132.35
STK017,2024-05-02,84.12,-0.18,96.32,239.75
STK005,2023-11-07,11.93,-3.56,175.38,142.78
STK034,2024-05-19,79.76,2.67,21.75,168.32
STK018,2023-12-21,5.6,1.37,77.44,115.34
STK031,2024-02-13,24.02,-2.93,261.47,52.8
STK013,2023-11-28,83.13,4.46,285.22,291.47
STK014,2024-03-16,4.67,-1.07,21.6,158.17
STK027,2023-02-27,12.94,3.03,196.39,28.98
STK016,2024-04-26,23.73,-1.04,251.64,32.14
STK006,2024-03-20,83.45,1.43,141.91,145.68
STK039,2023-01-15,26.86,-1.16,140.84,32.41
STK022,2024-08-28,75.85,2.39,183.5,98.0
STK013,2023-10-08,26.83,2.1,38.91,202.24
STK006,2024-01-08,61.76,-3.13,176.64,190.66
STK036,2023-06-05,41.65,-3.27,284.44,114.17
STK022,2024-04-01,88.82,3.81,50.04,275.26
STK023,2024-10-10,95.73,-4.57,197.42,191.48
STK028,2024-01-29,2.5,-0.84,94.38,182.99
STK006,2024-01-25,87.72,-4.22,136.49,81.1
STK016,2023-07-22,24.84,-2.99,110.4,242.94
STK035,2023-02-01,26.88,-2.8,69.81,232.72
STK017,2023-10-12,26.69,-1.26,163.0,133.46
STK038,2023-10-07,41.58,-4.04,111.92,64.27
STK033,2024-02-24,55.16,-1.72,281.42,50.61
STK027,2024-04-22,30.17,2.51,196.43,213.49
STK038,2023-09-16,57.12,-0.61,214.38,190.95
STK002,2024-03-09,1.64,2.34,171.96,294.47
STK009,2023-12-19,43.96,-4.38,28.58,214.9
STK034,2023-06-19,95.08,-2.34,174.0,269.81
STK029,2023-03-10,31.21,-4.49,134.73,117.83
STK026,2023-12-04,3.29,2.82,25.12,208.72
STK002,2023-07-06,84.2,1.79,228.57,193.74
STK027,2023-11-07,79.63,-0.55,202.4,213.08
STK027,2024-11-09,2.87,-0.96,131.54,59.68
STK028,2024-02-26,13.45,-0.88,182.97,37.99
STK024,2023-03-10,42.2,3.01,57.94,222.96
STK002,2023-06-29,38.2,-3.91,245.23,262.24
STK012,2023-06-05,81.3,4.21,205.6,159.76
STK025,2024-08-23,48.67,-1.56,54.25,138.23
STK034,2023-03-17,60.7,4.0,171.09,199.58
STK018,2024-01-21,23.2,-1.63,174.06,30.92
STK003,2024-10-15,64.9,4.32,146.05,247.6
STK040,2023-04-06,44.66,-2.33,49.57,50.59
STK012,2024-09-16,4.07,4.76,166.17,282.11
STK033,2023-10-26,6.75,4.98,287.8,197.3
STK011,2024-01-20,63.02,2.68,78.91,236.69
STK020,2024-08-22,25.52,-4.73,163.4,221.49
STK011,2024-09-30,33.76,3.95,55.85,288.1
STK016,2024-07-11,95.5,-3.36,66.51,192.3
STK008,2023-03-09,31.11,-3.15,82.94,42.21
STK020,2024-05-09,81.77,0.82,146.59,224.14
STK001,2023-09-21,87.13,2.32,212.33,235.11
STK033,2024-11-03,99.22,-4.22,261.34,281.21
STK002,2024-01-23,66.1,-1.86,84.4,115.78
STK020,2023-09-08,75.74,-3.33,164.02,117.12
STK005,2023-05-14,83.39,1.65,177.83,170.01
STK034,2024-06-06,27.03,-4.23,142.7,180.13
STK006,2023-09-27,96.29,0.27,136.08,98.71
STK029,2023-08-11,0.45,-4.94,66.72,253.28
STK007,2024-06-29,56.15,-0.14,267.01,137.11
STK039,2024-10-03,54.41,-3.52,179.81,247.86
STK004,2023-03-23,11.51,-3.27,162.74,25.71
STK027,2024-07-07,79.5,4.37,150.01,289.57
STK034,2023-04-18,81.51,-0.36,122.7,200.78
STK003,2024-04-10,49.08,-4.26,281.89,175.84
STK002,2024-03-17,41.92,3.98,200.04,205.89
STK028,2024-01-06,88.4,-2.67,293.09,279.71
STK004,2023-06-03,43.54,3.9,43.13,39.23
STK009,2024-04-13,44.5,-2.66,190.99,178.55
STK022,2023-09-23,87.76,1.79,215.61,196.34
STK028,2023-04-07,83.63,0.4,185.34,51.07
STK018,2023-06-26,65.2,-3.84,123.63,70.47
STK016,2023-02-22,93.49,3.79,209.29,96.86
STK010,2023-06-10,90.49,-2.33,243.24,174.42
STK030,2024-02-15,62.92,-0.92,135.11,54.9
STK035,2024-01-17,46.34,2.46,46.19,25.69
STK037,2023-06-10,5.99,3.43,153.06,144.07
STK028,2024-02-16,32.16,1.68,244.7,269.56
STK039,2023-12-11,98.52,-1.69,66.24,31.99
STK017,2023-03-12,65.32,0.46,247.36,40.11
STK025,2024-05-23,97.67,4.09,204.56,199.8
STK015,2024-10-26,47.75,2.97,67.69,254.28
STK002,2024-02-12,94.24,-1.56,214.33,53.87
STK008,2024-01-04,7.43,4.29,28.49,187.57
STK039,2023-04-21,17.47,3.61,167.57,295.44
STK018,2024-06-19,92.67,-0.67,81.04,43.33
STK001,2023-07-14,88.27,4.08,27.35,150.26
STK006,2023-02-28,89.37,-4.08,36.2,211.95
STK022,2024-11-19,58.04,0.11,190.18,190.61
STK025,2023-08-20,52.17,-1.97,89.96,223.21
STK026,2024-07-13,92.85,1.2,127.59,251.6
STK004,2023-01-10,19.05,-0.56,129.47,150.35
STK023,2024-05-04,93.23,3.14,165.08,112.74
STK035,2023-01-13,94.05,2.89,158.61,265.23
STK015,2023-08-08,77.09,0.26,134.93,101.39
STK020,2024-02-11,26.43,2.75,119.5,122.03
STK023,2023-08-16,6.65,3.9,281.42,297.6
STK028,2024-07-26,60.91,-0.57,257.51,71.15
STK021,2024-03-31,93.49,-2.27,186.7,37.57
STK024,2023-12-25,13.14,-4.02,133.52,76.77
STK039,2024-05-22,56.75,-2.24,90.42,38.4
STK022,2024-07-18,64.66,3.19,136.78,261.33
STK019,2024-08-14,81.63,-0.55,64.72,91.71
STK011,2024-06-26,18.93,3.12,261.65,61.72
STK002,2023-05-22,18.83,4.76,225.69,273.21
STK005,2023-05-20,16.21,4.69,182.54,74.48
STK029,2023-04-18,97.04,4.93,295.19,49.98
STK010,2024-11-18,24.68,-2.02,106.41,56.52
STK038,2023-02-27,6.17,0.68,31.33,143.72
STK031,2023-09-24,62.39,4.07,178.84,279.53
STK013,2023-05-24,29.57,-1.3,47.12,21.71
STK028,2024-04-07,3.08,3.03,268.39,194.41
STK005,2024-02-29,57.78,1.09,242.51,222.02
STK036,2024-04-08,46.33,-3.57,287.61,96.43
STK025,2024-03-27,60.68,4.14,214.57,149.31
STK008,2024-05-12,84.32,-3.24,201.42,216.21
STK009,2024-05-10,60.37,-4.72,245.04,133.23
STK033,2024-10-28,25.29,3.48,101.36,169.23
STK016,2023-11-05,36.58,-0.58,128.37,209.26
STK024,2024-06-09,85.17,-0.41,47.2,43.92
STK014,2024-01-10,28.83,1.12,107.78,127.14
STK018,2023-11-24,40.78,4.53,101.43,299.92
STK008,2023-07-30,16.4,0.36,264.53,124.59
STK025,2023-03-21,20.29,0.0,81.4,85.96
STK010,2024-09-29,71.07,2.08,294.62,21.07
STK034,2023-10-27,38.62,4.23,143.77,103.27
STK031,2023-05-17,28.78,2.77,280.33,250.25
STK007,2024-06-10,47.77,1.21,155.3,238.76
STK032,2024-09-11,91.89,0.41,91.14,42.77
STK011,2024-05-16,45.17,-3.94,120.5,274.21
STK032,2023-11-26,70.23,-0.34,225.21,77.25
STK028,2023-03-26,85.13,3.27,72.46,105.06
STK026,2023-09-13,77.47,3.4,74.31,68.13
STK033,2023-04-08,64.22,2.12,282.77,245.84
STK030,2024-07-30,62.3,3.67,243.9,241.01
STK014,2023-01-27,47.49,4.91,128.51,243.46
STK039,2024-02-19,45.76,-3.9,143.1,287.69
STK028,2024-08-31,43.83,-4.33,68.49,126.31
STK007,2023-10-05,6.41,2.95,68.64,205.93
STK024,2024-08-17,49.3,-4.46,80.26,65.25
STK008,2023-05-22,45.2,1.68,278.2,43.85
STK023,2023-05-07,77.3,3.0,269.09,288.21
STK039,2024-02-17,75.46,-0.41,50.59,140.06
STK014,2023-09-16,96.36,1.21,175.16,92.5
STK028,2024-05-14,51.96,2.35,250.88,160.06
STK018,2023-01-10,32.4,0.42,278.97,202.09
STK009,2023-01-18,40.77,-3.73,125.71,248.71
STK016,2024-04-26,1.26,-2.29,193.21,258.43
STK033,2024-04-12,48.4,4.08,213.34,167.38
