company_id,company_name,sector,market_cap,country
C0001,Moreno PLC,Banking,2195928156,UK
C0002,"Perry, Escobar and Hart",Telecom,471735539,India
C0003,Hernandez-King,Telecom,707114977,UK
C0004,Bell Ltd,Banking,5483241076,UK
C0005,Barber-Davis,Tech,8264416545,UK
C0006,Pacheco-Carlson,Tech,1172081775,UAE
C0007,Fisher Inc,Energy,3085671203,USA
C0008,"Valdez, Arnold and Crosby",Telecom,4871390450,UAE
C0009,Yang PLC,Telecom,4044088851,India
C0010,Warner-Walker,Banking,4807117008,UAE
C0011,"Reed, Santana and Sanders",Telecom,4807941281,UK
C0012,"Martinez, Diaz and Evans",Banking,7250401586,UK
C0013,"Kelly, Boyer and Thomas",Banking,1725666609,UAE
C0014,"Roberts, Johnson and Parker",Telecom,478990162,USA
C0015,Clark LLC,Tech,2399952850,India
C0016,"Morris, Thomas and Williams",Energy,4856904021,USA
C0017,Hernandez-Ward,Tech,-1,UK
C0018,Burton-Peterson,Energy,7068656384,USA
C0019,Rogers Group,Energy,6652150060,UK
C0020,Lee PLC,Banking,9877468346,India
C0021,"Blanchard, Elliott and Simmons",Energy,9360540180,UAE
C0022,Carroll-Miller,Telecom,8273350174,India
C0023,Barajas-Garcia,Telecom,6234021610,UK
C0024,Lang-Anderson,Telecom,2221414296,India
C0025,Short-Bailey,Energy,9149748003,India
C0026,"Ryan, Henderson and Baldwin",Banking,9449504528,UK
C0027,Pena-Logan,Telecom,875965309,UK
C0028,Campbell Inc,Telecom,7125416880,USA
C0029,Williams Ltd,Banking,5581105023,India
C0030,Wu Group,Banking,627368348,India
C0031,Malone Inc,Tech,7715804210,UK
C0032,Humphrey LLC,Energy,9059726331,UK
C0033,Chandler LLC,Banking,5651750914,UAE
C0034,"Parker, Goodman and Lewis",Energy,7322776821,UK
C0035,Williams LLC,Telecom,721385831,India
C0036,Brown PLC,Tech,6488664260,USA
C0037,"Ellis, Warner and Estes",Banking,9107210132,USA
C0038,"Garcia, Howard and Rivera",Telecom,-1,India
C0039,Owen-Ward,Tech,8873057149,UK
C0040,Black-Vargas,Tech,5811018906,UK
C0041,"Palmer, Gomez and Miller",Energy,-1,UAE
C0042,"Yoder, Hall and Madden",Telecom,3436939407,UK
C0043,"Case, Brown and Hamilton",Banking,6116356011,India
C0044,"Craig, Fields and Garcia",Energy,7033383343,UAE
C0045,Lopez PLC,Banking,3962370737,UAE
C0046,Mcdaniel and Sons,Banking,1890124482,USA
C0047,"Brown, Harper and Brown",Banking,5863920746,India
C0048,Thomas PLC,Tech,7305278839,India
C0049,"Drake, Rubio and Luna",Tech,1972100962,USA
C0050,Garcia-Howard,Telecom,6685327075,UAE
C0051,Dillon-Mcdonald,Banking,2956464229,UAE
C0052,Cunningham-Walker,Banking,3270772793,India
C0053,"Watson, Wilkins and Kelly",Banking,8174599435,UK
C0054,Adams-Turner,Tech,2586671483,UAE
C0055,Brown-Acosta,Energy,8835878575,UAE
C0056,Medina Inc,Banking,6765869630,UAE
C0057,"Collins, Mcbride and Hill",Banking,-1,USA
C0058,Miller-Cole,Banking,3370562833,India
C0059,Braun-Phillips,Banking,2542407072,USA
C0060,"Adams, Hernandez and Martinez",Tech,8166592809,USA
C0061,Hood-Bell,Telecom,3762861484,India
C0062,"Carpenter, Bennett and Johnson",Telecom,3637687863,USA
C0063,Frazier LLC,Banking,7991953120,India
C0064,Brown Ltd,Tech,5228981958,UK
C0065,"Pitts, Sanders and Zavala",Telecom,1820142505,UK
C0066,"Smith, Campbell and Dominguez",Banking,8149912159,UAE
C0067,"Wyatt, Brown and Graham",Banking,-1,UK
C0068,Oconnor-Floyd,Telecom,2944810870,India
C0069,"Rowe, Mills and Jackson",Telecom,4217986258,UK
C0070,Collier-Wells,Telecom,5300205568,UK
C0071,Glover-Norman,Banking,4233275534,UK
C0072,"Eaton, Dennis and Turner",Energy,4732882661,UAE
C0073,Wilson-Gray,Telecom,985415395,UK
C0074,Rose-Wise,Telecom,4294309996,USA
C0075,"Trevino, Johnson and Cooper",Banking,2367442793,UK
C0076,"Thomas, Martinez and Daniels",Banking,6821756092,India
C0077,Anthony and Sons,Tech,297376635,India
C0078,Richardson Group,Tech,7188987914,UK
C0079,"Barker, Cochran and Green",Telecom,7447181226,UAE
C0080,"Zuniga, Valenzuela and Howard",Tech,5571637448,USA
C0081,Brown-Smith,Telecom,2293571078,UK
C0082,Winters-Le,Tech,2440808235,UAE
C0083,"Cummings, Ramos and Yu",Tech,-1,UK
C0084,Neal Inc,Tech,2658608103,UAE
C0085,Ashley Inc,Energy,1316068507,UK
C0086,Miller LLC,Telecom,4508778570,India
C0087,Gonzales-Martin,Energy,7756817011,USA
C0088,Rasmussen-Price,Energy,7256014556,UAE
C0089,Price and Sons,Energy,1512333887,UK
C0090,"Ball, Case and Perry",Energy,4210790109,UK
C0091,"Walton, Richardson and Carpenter",Telecom,2662072218,UAE
C0092,Smith Group,Banking,9270165076,India
C0093,"Bryant, Maxwell and Walls",Banking,9782449017,USA
C0094,Butler Inc,Banking,7259746411,USA
C0095,Green Inc,Telecom,6722473947,UAE
C0096,"Morris, Snyder and Chaney",Energy,3177750647,UAE
C0097,Hill and Sons,Banking,4298315425,India
C0098,"Meyers, Franklin and Ferguson",Energy,5764145068,India
C0099,Williams-Lawson,Tech,1589000302,UAE
C0100,Powers-Bowers,Tech,1954121267,UK
C0101,Moss Inc,Telecom,8049362410,UK
C0102,"Ramos, Flynn and Berry",Telecom,4928319514,India
C0103,Hines-Miller,Energy,4083363699,UK
C0104,Aguilar and Sons,Tech,6836778046,USA
C0105,Tyler Ltd,Energy,5335924045,UK
C0106,Jackson-Brooks,Banking,8849195165,USA
C0107,Mcdonald-Miller,Tech,8553362454,India
C0108,Carlson-Willis,Tech,-1,USA
C0109,Rivera PLC,Tech,6879406179,USA
C0110,"Foster, Atkinson and Heath",Energy,9604890686,UAE
C0111,"Sanchez, Huang and Palmer",Banking,8328724125,India
C0112,Gilbert LLC,Banking,330024489,UAE
C0113,Hayes Ltd,Energy,3481415878,UAE
C0114,Sandoval LLC,Tech,8183500449,UAE
C0115,"Gonzales, Perez and Ellis",Tech,5425120830,USA
C0116,Francis-Freeman,Banking,2777413137,USA
C0117,Galvan-Patton,Banking,9855920799,India
C0118,"Liu, Ross and Johnson",Telecom,6912116982,USA
C0119,"Ramirez, Norris and Anderson",Energy,7255857570,USA
C0120,"Reilly, Cruz and Walker",Energy,6810317563,USA
