news_id,publish_date,company,headline,sentiment_score,source
N1,2023-01-23,STK008,Personal offer big model.,-0.16,Reuters
N2,2024-03-10,STK035,Paper effort plan stay professor none story.,-0.36,CNBC
N3,2024-07-05,STK027,Personal sell successful individual PM.,-0.08,Reuters
N4,2024-11-06,STK026,Prevent on though wall along.,-0.02,Reuters
N5,2024-05-25,STK001,West own goal skin.,-0.43,CNBC
N6,2024-05-22,STK007,Enough weight rule security expert truth would.,-0.21,Reuters
N7,2023-09-03,STK019,Prevent store up short sport.,-0.1,Reuters
N8,2023-03-13,STK003,Animal book very.,-0.81,CNBC
N9,2024-11-05,STK034,Military man some beat quality find.,-0.51,Bloomberg
N10,2023-06-03,STK019,Parent assume gun find.,-0.67,CNBC
N11,2024-06-04,STK027,Rate last next take.,0.38,Reuters
N12,2024-09-21,STK025,Letter instead bring run score.,0.7,Reuters
N13,2024-01-23,STK029,Bag to usually field specific certain.,-0.37,Reuters
N14,2023-08-13,STK025,Sometimes large ever expect music bank so another.,0.04,Bloomberg
N15,2024-06-12,STK021,Mother machine candidate option.,0.52,Bloomberg
N16,2023-01-31,STK037,Others Mrs these report.,-0.29,Reuters
N17,2024-08-01,STK032,Establish financial may race red type certain.,-0.58,CNBC
N18,2023-07-06,STK010,Page them answer full not garden.,-0.29,CNBC
N19,2023-11-06,STK014,Participant company itself together light college.,0.37,Reuters
N20,2023-06-08,STK035,Care population message beyond.,-0.22,CNBC
N21,2024-09-18,STK037,Your civil benefit on truth quickly authority.,-0.6,Bloomberg
N22,2023-10-26,STK002,Baby number game some arrive.,0.51,CNBC
N23,2023-06-17,STK030,Might ok spring natural interesting bed two I.,0.16,Reuters
N24,2023-12-25,STK020,They sell various guess but.,0.93,Reuters
N25,2023-06-27,STK013,Social nor start partner pay.,-0.13,Bloomberg
N26,2024-05-03,STK031,Gas involve case.,-0.6,Bloomberg
N27,2023-12-01,STK030,Two visit white paper nice.,-0.82,Reuters
N28,2024-09-06,STK038,Admit loss win we fish his land.,-0.33,Bloomberg
N29,2024-05-31,STK010,Understand term pass simply international.,0.35,Reuters
N30,2023-06-01,STK037,Beautiful eight notice.,-0.89,Bloomberg
N31,2023-08-30,STK001,Turn industry manager wide least.,-0.05,Reuters
N32,2024-07-19,STK001,Occur much better officer leg health.,0.62,Bloomberg
N33,2024-01-24,STK037,Build we skin conference purpose represent.,-0.71,CNBC
N34,2023-09-02,STK008,Oil seem report first.,0.43,Reuters
N35,2023-07-17,STK024,Great effect try.,0.82,Bloomberg
N36,2023-12-18,STK008,Our sure director outside benefit back across act.,-0.74,CNBC
N37,2023-02-07,STK002,Professional listen business support pattern.,-0.19,Reuters
N38,2023-04-21,STK033,Six alone area probably blue again I.,-0.82,Reuters
N39,invalid_date,STK014,Remain of likely must like.,0.59,CNBC
N40,2024-06-28,STK012,Trade case dinner final those property play.,0.65,Reuters
N41,2023-06-30,STK013,Per whatever just always.,0.42,Bloomberg
N42,2024-10-07,STK013,Raise quality movie few difficult commercial without.,-0.57,Reuters
N43,2023-04-01,STK013,Security goal way side nature.,0.35,Reuters
N44,2024-02-27,STK009,Make both throughout.,0.19,Reuters
N45,2024-02-08,STK012,Republican free offer us vote follow mouth.,-0.46,CNBC
N46,2024-06-03,STK004,Training feeling arm chance happy.,0.28,Reuters
N47,2023-05-23,STK030,Peace positive cost loss set Democrat win.,0.47,Bloomberg
N48,2024-11-18,STK005,Respond early lot.,-0.14,Bloomberg
N49,2024-04-10,STK023,Stop skin build each source need may.,0.89,Bloomberg
N50,2023-04-19,STK033,Dinner site central without.,-0.64,CNBC
N51,2024-07-20,STK021,End eat statement clearly.,-0.01,Reuters
N52,2023-05-09,STK040,Agreement step ten money group trip.,-0.39,CNBC
N53,2024-01-08,STK037,President hold pattern building anything key method.,0.12,Bloomberg
N54,2024-11-07,STK014,Age current sort star.,0.4,Reuters
N55,2023-05-29,STK002,Its wrong certainly capital statement.,-0.36,CNBC
N56,2024-06-11,STK001,Industry analysis style could.,0.31,CNBC
N57,2023-01-28,STK026,Government law chair spring.,-0.4,Reuters
N58,2023-05-23,STK003,Take law campaign significant morning.,0.13,Reuters
N59,2023-08-05,STK006,Oil dinner nor tonight wait phone what.,-0.93,CNBC
N60,2024-06-23,STK005,Front million majority official sense home space.,-0.98,Bloomberg
N61,2023-08-16,STK019,Station short learn tonight power.,-0.33,CNBC
N62,2023-02-21,STK017,Treat conference product daughter position.,0.75,Bloomberg
N63,2023-06-23,STK022,Memory standard parent writer.,0.07,Reuters
N64,2023-05-30,STK022,Actually pressure more.,0.51,Bloomberg
N65,2024-01-01,STK025,Inside sense laugh upon.,0.32,CNBC
N66,2023-06-13,STK019,Fight prove after time performance.,-0.38,Bloomberg
N67,2023-12-07,STK033,Start trip sure chair another remember.,0.47,Bloomberg
N68,2024-05-25,STK034,Section manage agent let anything court push enter.,0.91,Reuters
N69,2024-11-13,STK015,Meeting left fine hand.,-0.0,Reuters
N70,2024-09-09,STK010,World feeling exactly near.,-0.95,CNBC
N71,2023-10-10,STK036,Even kid just agree.,-0.63,Reuters
N72,2024-09-21,STK007,Truth owner training although street five style.,0.59,Reuters
N73,2023-01-30,STK020,Child wait guy assume conference market.,-0.06,Reuters
N74,2023-10-02,STK037,Easy process degree become.,0.64,Reuters
N75,2024-03-05,STK036,Third boy place rock there shake ago.,-0.38,Bloomberg
N76,2023-03-09,STK038,Physical well piece change.,0.4,CNBC
N77,2023-11-19,STK001,Themselves his difficult thank voice he.,0.87,Bloomberg
N78,2024-02-04,STK036,Seem bill sport arm likely.,0.82,CNBC
